time,value
2026-06-17T13:19:16.744110779Z,86
2026-06-17T13:19:28.743572216Z,87
2026-06-17T13:19:30.737702476Z,88
2026-06-17T13:19:32.73400238Z,87
2026-06-17T13:19:34.731430046Z,86
2026-06-17T13:19:36.735309069Z,88
2026-06-17T13:19:38.740820321Z,86
2026-06-17T13:19:40.734087352Z,88
2026-06-17T13:19:42.738950871Z,87
2026-06-17T13:19:44.735740752Z,88
2026-06-17T13:19:46.735893663Z,86
2026-06-17T13:19:48.732956017Z,88
2026-06-17T13:19:50.729541836Z,87
2026-06-17T13:19:52.72959351Z,90
2026-06-17T13:19:54.732212356Z,89
2026-06-17T13:19:56.735755952Z,87
2026-06-17T13:19:58.743288296Z,86
2026-06-17T13:20:00.737890031Z,88
2026-06-17T13:20:02.73484895Z,86
2026-06-17T13:20:04.732229084Z,87
2026-06-17T13:20:10.794784175Z,88
2026-06-17T13:20:12.908020166Z,85
2026-06-17T13:20:14.899534908Z,86
2026-06-17T13:20:18.829236274Z,88
2026-06-17T13:20:22.739276845Z,86
2026-06-17T13:20:24.814849697Z,89
2026-06-17T13:20:26.822165291Z,88
2026-06-17T13:20:28.822442045Z,85
2026-06-17T13:20:30.732888359Z,87
2026-06-17T13:20:32.734421087Z,88
2026-06-17T13:20:34.73204806Z,89
2026-06-17T13:20:36.733125011Z,86
2026-06-17T13:20:38.73311068Z,88
2026-06-17T13:20:40.737701399Z,89
2026-06-17T13:20:42.730778631Z,86
2026-06-17T13:20:44.73090043Z,87
2026-06-17T13:20:46.73650679Z,88
2026-06-17T13:20:50.932319711Z,86
2026-06-17T13:20:54.830811681Z,88
2026-06-17T13:20:56.840790871Z,87
2026-06-17T13:20:58.820595249Z,88
2026-06-17T13:21:00.821898823Z,86
2026-06-17T13:21:02.823358073Z,85
2026-06-17T13:21:04.73123689Z,88
2026-06-17T13:21:06.73706732Z,86
2026-06-17T13:21:16.740259623Z,89
2026-06-17T13:21:18.7328357Z,87
2026-06-17T13:21:20.913945178Z,88
2026-06-17T13:21:22.734205755Z,89
2026-06-17T13:21:24.81525985Z,87
2026-06-17T13:21:26.738752282Z,86
2026-06-17T13:21:30.730402417Z,89
2026-06-17T13:21:32.738540443Z,87
2026-06-17T13:21:36.732322145Z,86
2026-06-17T13:21:38.729210314Z,87
2026-06-17T13:21:42.36548696Z,86
2026-06-17T13:21:44.730310861Z,87
2026-06-17T13:21:46.741541004Z,86
2026-06-17T13:21:50.730154365Z,87
2026-06-17T13:21:54.737895794Z,86
2026-06-17T13:21:56.733007786Z,89
2026-06-17T13:21:58.731325844Z,88
2026-06-17T13:22:00.730731044Z,86
2026-06-17T13:22:02.732272401Z,87
2026-06-17T13:22:04.80428782Z,86
2026-06-17T13:22:10.812671137Z,87
2026-06-17T13:22:12.817037948Z,88
2026-06-17T13:22:14.89508522Z,85
2026-06-17T13:22:16.8136822Z,88
2026-06-17T13:22:18.804958912Z,86
2026-06-17T13:22:20.739958685Z,87
2026-06-17T13:22:22.73045335Z,88
2026-06-17T13:22:26.817530838Z,89
2026-06-17T13:22:28.732987704Z,88
2026-06-17T13:22:30.729932826Z,86
